,,Equal-weight,EPO,PPP,"Proposed, EPO $N$","Proposed, PPP $N$","Proposed, unconstrained"
Panel A: Performance,Annualised return (%),0.1149356054076355,0.0804638168011344,0.0987727278096206,0.1207969359239737,0.1262237958422463,0.0930767315916862
Panel A: Performance,Annualised volatility (%),0.1640550683860237,0.1355170630633444,0.1829544377088618,0.156472016833128,0.1590427023439635,0.2591494874220689
Panel A: Performance,Maximum drawdown (%),0.2719251690920219,0.2347876532875986,0.3460910257064571,0.2493030774177284,0.2395370620774748,0.2697055283072955
Panel A: Performance,Sharpe ratio,0.6308138998944421,0.4982745416944533,0.5053481518273258,0.6863809389226928,0.7087928034553158,0.3965185779681766
Panel A: Performance,CRRA certainty equivalent (%),0.053244887477641,0.0403441848347401,0.0158352886216242,0.0673520073232762,0.069912070143292,-0.0390563476693532
Panel A: Performance,Annualised turnover,0.853562387381201,4.758186289760903,5.21950069170436,1.6227436453887636,1.1772348980971086,3.201503480950571
Panel A: Performance,Average effective N,281.68939393939394,72.58020437571506,80.13590156191317,68.38741351937982,80.12164028677346,1.410436007492891
